,pdq,aic,r2
113,"(6, 1, 7)",2185.7475426060273,0.3047863473978226
59,"(3, 1, 2)",2167.6668691275313,0.30271263848878105
131,"(7, 1, 7)",2185.7795165748134,0.2957874605436105
114,"(6, 1, 8)",2192.466215591524,0.2926612463982151
62,"(3, 1, 5)",2171.680196918701,0.2908801565860394
111,"(6, 1, 4)",2174.9565173423894,0.289958882297254
81,"(4, 1, 6)",2224.667285112504,0.28933936204075306
45,"(2, 1, 4)",2214.9164088570255,0.2770785190742031
46,"(2, 1, 5)",2169.9621126907446,0.2702634383137764
98,"(5, 1, 7)",2181.0341452263424,0.2573342931485535
133,"(7, 1, 9)",2196.107827140691,0.23568613541494454
78,"(4, 1, 3)",2228.341557578373,0.23047305406444862
60,"(3, 1, 3)",2209.7819425503926,0.2283805528142978
150,"(8, 1, 7)",2190.3430372303615,0.2276855658790774
77,"(4, 1, 2)",2211.3415748583784,0.18118363981789198
63,"(3, 1, 6)",2222.004894209999,0.1782706336229456
26,"(1, 1, 1)",2224.633462079661,0.17438682559421592
96,"(5, 1, 5)",2233.8978964026674,0.16902798704949096
30,"(1, 1, 7)",2207.337416154685,0.1685812800754174
57,"(3, 1, 0)",2202.1005454762535,0.16188508224294706
41,"(2, 1, 0)",2224.203381847963,0.15950615920444144
58,"(3, 1, 1)",2227.757059913411,0.1585938730892622
25,"(1, 1, 0)",2232.3166404979943,0.15464339647530023
8,"(0, 1, 3)",2211.589936740914,0.1542209861433359
27,"(1, 1, 2)",2223.3378778799756,0.13948295488351325
166,"(9, 1, 4)",2239.151559348666,0.13695733915489028
99,"(5, 1, 8)",2215.9826431915953,0.1365930516046261
12,"(0, 1, 7)",2207.9882644894406,0.13138417860423224
76,"(4, 1, 0)",2228.3047190037187,0.1277339356166075
79,"(4, 1, 4)",2230.0290165745496,0.1180417705597323
149,"(8, 1, 5)",2245.815524553379,0.11608905044902407
148,"(8, 1, 4)",2240.6022088003183,0.11603899962108899
128,"(7, 1, 3)",2232.47617544516,0.11551033641566533
28,"(1, 1, 3)",2223.4635429937443,0.11215304295939721
147,"(8, 1, 3)",2234.5143277569064,0.11136127767851167
129,"(7, 1, 4)",2238.1749287646862,0.10950762534766822
95,"(5, 1, 4)",2233.5341076127265,0.1090153543968202
0,"(0, 0, 5)",2246.45837382649,0.10859304965603345
80,"(4, 1, 5)",2233.5112035287457,0.1070270214727872
13,"(0, 1, 8)",2210.103755590091,0.10484340871756892
83,"(4, 1, 9)",2275.913875389064,0.10223660946795199
167,"(9, 1, 5)",2249.941090787768,0.10195821766321955
112,"(6, 1, 6)",2244.390189499296,0.10180951933574411
11,"(0, 1, 6)",2210.242121481496,0.10034937741247363
10,"(0, 1, 5)",2225.3382014633553,0.0996251712132119
29,"(1, 1, 4)",2225.72466834255,0.09956661042705128
9,"(0, 1, 4)",2221.6967231519857,0.09910174041793285
61,"(3, 1, 4)",2226.118351005614,0.09599010591517831
145,"(8, 1, 1)",2211.315708545671,0.0890234592733542
164,"(9, 1, 1)",2235.1287282361413,0.08788782945654572
165,"(9, 1, 2)",2236.3700937137965,0.08591832859307169
163,"(9, 1, 0)",2233.4877648019437,0.08590148948240017
144,"(8, 1, 0)",2209.3256175378797,0.08519142566811044
126,"(7, 1, 1)",2231.125748055698,0.08347312520526995
146,"(8, 1, 2)",2234.3760826376415,0.08242716734503608
127,"(7, 1, 2)",2232.2887752837473,0.0819452642613856
125,"(7, 1, 0)",2229.949685614544,0.07686641814913198
94,"(5, 1, 0)",2227.836277684849,0.06165273144489747
44,"(2, 1, 3)",2222.9866335569354,0.061552131209380856
14,"(0, 1, 9)",2210.9006878000578,0.05934707453021526
110,"(6, 1, 0)",2228.7148843521904,0.04998617294556107
65,"(3, 1, 9)",2267.125865844829,0.03762858565010585
130,"(7, 1, 6)",2201.2470917304854,0.03679227298824361
168,"(9, 1, 8)",2246.355003058889,0.025580257467169965
169,"(9, 1, 9)",2289.4693346675976,0.024564876436714345
42,"(2, 1, 1)",2204.379656154231,0.012232527570690155
