pdq,Spdq,aic
"(2, 1, 2)","(2, 2, 2, 36)",1160.3284191853238
"(2, 1, 0)","(1, 2, 1, 36)",1160.3991484712474
"(0, 1, 2)","(1, 2, 0, 36)",1160.702963505717
"(0, 1, 1)","(1, 2, 2, 36)",1160.8292899730843
"(1, 2, 0)","(1, 2, 0, 36)",1160.9270600870402
"(2, 1, 0)","(1, 2, 2, 36)",1161.042460975024
"(1, 1, 1)","(2, 2, 1, 36)",1161.5098498079694
"(0, 1, 1)","(2, 2, 2, 36)",1161.5120707342862
"(1, 2, 0)","(0, 2, 2, 36)",1161.5373416806003
"(2, 1, 0)","(2, 2, 2, 36)",1161.7162057495211
"(1, 1, 0)","(1, 2, 0, 36)",1161.851204082724
"(1, 1, 2)","(1, 2, 0, 36)",1161.9454223971936
"(2, 2, 1)","(0, 2, 1, 36)",1162.0634518807988
"(0, 1, 0)","(0, 2, 2, 36)",1162.1043999486888
"(1, 1, 1)","(1, 2, 1, 36)",1162.158409745447
"(1, 1, 1)","(1, 2, 2, 36)",1162.6860404653519
"(0, 1, 2)","(0, 2, 2, 36)",1163.2593666999107
"(2, 1, 1)","(2, 2, 1, 36)",1163.391676928585
"(1, 1, 1)","(2, 2, 2, 36)",1163.509693165165
"(0, 1, 1)","(1, 2, 0, 36)",1163.7779401284602
"(2, 1, 2)","(1, 2, 0, 36)",1163.9608961077838
"(2, 1, 1)","(1, 2, 1, 36)",1164.0452609098331
"(2, 1, 0)","(1, 2, 0, 36)",1164.2031977717634
"(1, 1, 2)","(0, 2, 2, 36)",1164.325571151879
"(1, 1, 0)","(0, 2, 2, 36)",1164.5855170029888
"(2, 1, 1)","(1, 2, 2, 36)",1164.755374450381
"(0, 2, 0)","(0, 2, 2, 36)",1164.994811818436
"(2, 1, 1)","(2, 2, 2, 36)",1165.3956293549438
"(2, 2, 0)","(0, 2, 1, 36)",1165.5536444705842
"(1, 1, 1)","(1, 2, 0, 36)",1165.6394148892982
"(2, 1, 2)","(0, 2, 2, 36)",1166.297798892444
"(0, 1, 1)","(0, 2, 2, 36)",1166.6431263040608
"(2, 1, 1)","(1, 2, 0, 36)",1166.9588067829511
"(2, 1, 0)","(0, 2, 2, 36)",1167.0028412232411
"(0, 2, 0)","(1, 2, 0, 36)",1167.6814934053953
"(1, 2, 0)","(0, 2, 1, 36)",1167.9353751581846
"(1, 1, 1)","(0, 2, 2, 36)",1168.5881731149625
"(0, 1, 0)","(0, 2, 1, 36)",1170.0250012116692
"(2, 1, 1)","(0, 2, 2, 36)",1170.1167450685218
"(0, 1, 2)","(0, 2, 1, 36)",1170.979277461261
"(1, 1, 2)","(0, 2, 1, 36)",1171.166512107902
"(2, 1, 2)","(0, 2, 1, 36)",1171.307508889205
"(1, 1, 0)","(0, 2, 1, 36)",1171.4968994208205
"(0, 2, 2)","(0, 2, 0, 36)",1171.5963543711387
"(0, 2, 0)","(0, 2, 1, 36)",1172.3400358811753
"(0, 1, 1)","(0, 2, 1, 36)",1173.0294445501074
"(0, 2, 1)","(0, 2, 0, 36)",1173.273717487387
"(1, 2, 1)","(0, 2, 0, 36)",1173.3737698495795
"(1, 2, 2)","(0, 2, 0, 36)",1173.5688071092627
"(2, 1, 0)","(0, 2, 1, 36)",1173.771833189493
"(1, 0, 1)","(1, 2, 0, 36)",1174.5651180146588
"(1, 1, 1)","(0, 2, 1, 36)",1174.9925886813535
"(2, 2, 2)","(0, 2, 0, 36)",1175.0820685879735
"(2, 2, 1)","(0, 2, 0, 36)",1175.2799568369667
"(2, 1, 1)","(0, 2, 1, 36)",1175.5914934360856
"(1, 0, 2)","(2, 2, 1, 36)",1176.7272294047002
"(2, 0, 0)","(2, 2, 0, 36)",1177.295305495933
