pdq,Spdq,aic
"(1, 0, 1)","(0, 1, 2, 36)",1921.4964129628604
"(1, 0, 0)","(0, 1, 2, 36)",1921.8157351387106
"(2, 0, 1)","(2, 1, 2, 36)",1921.9433344868303
"(1, 0, 2)","(1, 1, 2, 36)",1921.9693912637329
"(1, 0, 2)","(2, 1, 1, 36)",1921.9822304520453
"(1, 1, 0)","(0, 1, 0, 36)",1922.3815793607653
"(2, 0, 2)","(1, 1, 2, 36)",1922.3895963829689
"(2, 0, 2)","(2, 1, 1, 36)",1922.4192840715677
"(0, 1, 1)","(0, 1, 0, 36)",1922.4314016362532
"(2, 0, 0)","(0, 1, 1, 36)",1922.8841272829436
"(2, 0, 1)","(0, 1, 2, 36)",1922.9506071422834
"(1, 0, 2)","(2, 1, 2, 36)",1923.9740349420135
"(1, 0, 1)","(0, 1, 1, 36)",1924.070957201396
"(2, 1, 0)","(0, 1, 0, 36)",1924.3450806837802
"(2, 0, 2)","(2, 1, 2, 36)",1924.388884835538
"(1, 1, 1)","(0, 1, 0, 36)",1924.4042284084105
"(0, 1, 0)","(0, 1, 0, 36)",1924.571023208674
"(0, 1, 2)","(0, 1, 0, 36)",1924.5943083364175
"(1, 0, 2)","(0, 1, 2, 36)",1924.8299050253815
"(2, 0, 2)","(0, 1, 2, 36)",1925.1027520517198
"(1, 0, 0)","(0, 1, 1, 36)",1925.181341963164
"(2, 0, 1)","(0, 1, 1, 36)",1925.3504560130498
"(2, 2, 0)","(0, 1, 0, 36)",1925.6056182697023
"(2, 1, 1)","(0, 1, 0, 36)",1926.404201377318
"(1, 1, 2)","(0, 1, 0, 36)",1926.5359990251688
"(1, 0, 2)","(0, 1, 1, 36)",1927.2082963491712
"(2, 0, 2)","(0, 1, 1, 36)",1928.031158225462
"(2, 1, 2)","(0, 1, 0, 36)",1928.5311326550864
"(1, 2, 0)","(0, 1, 0, 36)",1931.6117460578669
"(0, 2, 0)","(0, 1, 0, 36)",1941.7145749788485
"(2, 0, 1)","(0, 1, 0, 36)",1947.4502090791489
"(2, 0, 0)","(0, 1, 0, 36)",1948.2241849336124
"(1, 0, 1)","(0, 1, 0, 36)",1948.9581403542834
"(2, 0, 2)","(0, 1, 0, 36)",1949.1412153617912
"(1, 0, 2)","(0, 1, 0, 36)",1950.2353970499187
"(1, 0, 0)","(0, 1, 0, 36)",1952.095856518919
"(0, 0, 2)","(0, 1, 0, 36)",2000.3727006872869
"(0, 0, 2)","(1, 1, 0, 36)",2000.3955058545748
"(0, 0, 2)","(0, 1, 1, 36)",2000.4106284265047
"(0, 0, 2)","(1, 1, 1, 36)",2002.3807580292535
"(0, 0, 2)","(2, 1, 0, 36)",2002.3949770464262
"(0, 0, 2)","(0, 1, 2, 36)",2002.4094970230026
"(0, 0, 2)","(1, 1, 2, 36)",2004.116344539645
"(0, 0, 2)","(2, 1, 1, 36)",2004.227492744695
"(0, 0, 2)","(2, 1, 2, 36)",2005.7743564269097
"(0, 0, 1)","(0, 1, 0, 36)",2025.5219816980646
"(0, 0, 1)","(1, 1, 0, 36)",2026.394736872679
"(0, 0, 1)","(0, 1, 1, 36)",2026.4266325541312
"(0, 0, 1)","(1, 1, 1, 36)",2027.7513783306413
"(0, 0, 1)","(2, 1, 0, 36)",2028.3563446481357
"(0, 0, 1)","(0, 1, 2, 36)",2028.4202127487179
"(0, 0, 1)","(1, 1, 2, 36)",2029.7345186533967
"(0, 0, 1)","(2, 1, 1, 36)",2029.7388373678264
"(0, 0, 1)","(2, 1, 2, 36)",2031.1611778185104
"(0, 0, 0)","(1, 1, 1, 36)",2084.234473451867
"(0, 0, 0)","(1, 1, 2, 36)",2085.3002819235767
"(0, 0, 0)","(0, 1, 1, 36)",2085.56480744905
"(0, 0, 0)","(2, 1, 1, 36)",2085.645347942406
"(0, 0, 0)","(2, 1, 2, 36)",2087.1577592268586
"(0, 0, 0)","(0, 1, 2, 36)",2087.438156001341
"(0, 0, 0)","(1, 1, 0, 36)",2087.982751945715
"(0, 0, 0)","(0, 1, 0, 36)",2090.1584363989114
"(0, 0, 0)","(2, 1, 0, 36)",2103.6075952370284
"(2, 1, 2)","(0, 0, 0, 36)",2622.1128165021164
"(1, 2, 1)","(0, 0, 0, 36)",2623.4111802748444
"(2, 1, 2)","(1, 0, 0, 36)",2623.770121713754
"(2, 1, 2)","(0, 0, 1, 36)",2623.774043594832
"(2, 1, 2)","(0, 0, 2, 36)",2625.4678440110633
"(2, 1, 2)","(2, 0, 0, 36)",2625.4845540264464
"(1, 2, 1)","(1, 0, 0, 36)",2626.615606475515
"(1, 2, 1)","(0, 0, 1, 36)",2626.8086247335686
"(1, 2, 1)","(1, 0, 1, 36)",2627.3418751492004
"(1, 2, 1)","(2, 0, 0, 36)",2627.488044020043
"(1, 2, 1)","(0, 0, 2, 36)",2627.697667449893
"(2, 1, 2)","(1, 0, 1, 36)",2627.7759246854384
"(2, 1, 2)","(2, 0, 1, 36)",2627.7966148198866
"(2, 2, 1)","(0, 0, 0, 36)",2628.083995372538
"(1, 2, 2)","(0, 0, 0, 36)",2628.2851839109017
"(0, 2, 2)","(0, 0, 1, 36)",2628.3719442994366
"(2, 1, 2)","(1, 0, 2, 36)",2628.418540061045
"(2, 2, 1)","(1, 0, 0, 36)",2628.6110863211143
"(2, 2, 1)","(0, 0, 1, 36)",2628.8041245501777
"(1, 2, 2)","(1, 0, 0, 36)",2628.8263794365903
"(1, 2, 2)","(0, 0, 1, 36)",2629.0171983201144
"(1, 2, 1)","(1, 0, 2, 36)",2629.195709984477
"(1, 2, 1)","(2, 0, 1, 36)",2629.205162616699
"(2, 2, 1)","(1, 0, 1, 36)",2629.337376226509
"(2, 2, 1)","(2, 0, 0, 36)",2629.480716026942
"(1, 2, 2)","(1, 0, 1, 36)",2629.574032061425
"(2, 2, 1)","(0, 0, 2, 36)",2629.6894725707593
"(2, 2, 2)","(0, 0, 0, 36)",2629.711428683977
"(1, 2, 2)","(2, 0, 0, 36)",2629.7131073070327
"(1, 2, 2)","(0, 0, 2, 36)",2629.9190025572116
"(2, 2, 2)","(1, 0, 0, 36)",2630.2648294349733
"(0, 2, 2)","(1, 0, 0, 36)",2630.4335274779523
"(2, 2, 2)","(0, 0, 1, 36)",2630.4655252834536
"(0, 2, 2)","(1, 0, 1, 36)",2630.582449344155
"(0, 2, 2)","(0, 0, 0, 36)",2630.622518575448
"(0, 2, 2)","(2, 0, 0, 36)",2630.664959926583
"(2, 2, 2)","(1, 0, 1, 36)",2630.913128789538
"(0, 2, 2)","(0, 0, 2, 36)",2631.0028251476515
"(2, 2, 2)","(2, 0, 0, 36)",2631.0487943008925
"(1, 2, 1)","(2, 0, 2, 36)",2631.1684992504347
"(2, 2, 1)","(1, 0, 2, 36)",2631.190704126138
"(2, 2, 1)","(2, 0, 1, 36)",2631.199788444997
"(2, 2, 2)","(0, 0, 2, 36)",2631.2642386702687
"(1, 2, 2)","(1, 0, 2, 36)",2631.428909450832
"(1, 2, 2)","(2, 0, 1, 36)",2631.4394294255358
"(0, 2, 2)","(1, 0, 2, 36)",2632.3403713792973
"(0, 2, 2)","(2, 0, 1, 36)",2632.355091994245
"(2, 2, 2)","(1, 0, 2, 36)",2632.7509429265697
"(2, 2, 2)","(2, 0, 1, 36)",2632.761377674715
"(2, 2, 1)","(2, 0, 2, 36)",2633.1633402227253
"(1, 2, 2)","(2, 0, 2, 36)",2633.402880458013
"(0, 2, 2)","(2, 0, 2, 36)",2634.318870239519
"(2, 2, 2)","(2, 0, 2, 36)",2634.7293606542717
"(1, 1, 0)","(1, 0, 1, 36)",2635.9048038914207
"(1, 1, 0)","(2, 0, 0, 36)",2636.121654223748
"(1, 1, 0)","(0, 0, 2, 36)",2636.5361904092165
"(1, 1, 0)","(1, 0, 0, 36)",2636.73857380979
"(1, 1, 0)","(0, 0, 1, 36)",2637.148193123293
"(1, 1, 0)","(0, 0, 0, 36)",2637.191560470192
"(1, 1, 0)","(1, 0, 2, 36)",2637.5543405525523
"(1, 1, 0)","(2, 0, 1, 36)",2637.572788730406
"(2, 1, 0)","(1, 0, 1, 36)",2637.861990447605
"(2, 1, 0)","(2, 0, 0, 36)",2638.038667914028
"(1, 1, 1)","(1, 0, 1, 36)",2638.054667035683
"(1, 1, 1)","(2, 0, 0, 36)",2638.206835816778
"(0, 1, 1)","(1, 0, 1, 36)",2638.300788299733
"(0, 1, 1)","(2, 0, 0, 36)",2638.3805813951453
"(2, 1, 0)","(0, 0, 2, 36)",2638.43921441725
"(1, 1, 1)","(0, 0, 2, 36)",2638.6017908788613
"(2, 1, 0)","(1, 0, 0, 36)",2638.640071347641
"(1, 1, 2)","(1, 0, 1, 36)",2638.7265656752375
"(1, 1, 1)","(1, 0, 0, 36)",2638.73216942332
"(0, 1, 1)","(0, 0, 2, 36)",2638.8751775228766
"(2, 1, 0)","(0, 0, 1, 36)",2639.04361830302
"(2, 1, 0)","(0, 0, 0, 36)",2639.0541351239804
"(0, 1, 2)","(1, 0, 1, 36)",2639.06654649835
"(0, 1, 2)","(2, 0, 0, 36)",2639.089269240046
"(1, 1, 1)","(0, 0, 0, 36)",2639.11006628301
"(1, 1, 1)","(0, 0, 1, 36)",2639.128248652131
"(1, 1, 2)","(2, 0, 0, 36)",2639.2678742917674
"(0, 1, 1)","(1, 0, 0, 36)",2639.408309753295
"(0, 1, 2)","(1, 0, 0, 36)",2639.4189298117335
"(0, 1, 2)","(0, 0, 2, 36)",2639.4458317149492
"(2, 1, 0)","(1, 0, 2, 36)",2639.501975932501
"(1, 1, 0)","(2, 0, 2, 36)",2639.5138857687975
"(2, 1, 0)","(2, 0, 1, 36)",2639.5205100864255
"(0, 1, 2)","(0, 0, 0, 36)",2639.5693342960367
"(1, 1, 1)","(1, 0, 2, 36)",2639.696200176099
"(1, 1, 1)","(2, 0, 1, 36)",2639.7150731032775
"(0, 1, 2)","(0, 0, 1, 36)",2639.7806331340416
"(2, 1, 1)","(1, 0, 1, 36)",2639.862711594293
"(0, 1, 1)","(1, 0, 2, 36)",2639.874233436947
"(0, 1, 1)","(2, 0, 1, 36)",2639.8958412164034
"(1, 1, 2)","(0, 0, 2, 36)",2639.908361539191
"(0, 1, 1)","(0, 0, 1, 36)",2639.9488638169883
"(2, 1, 1)","(2, 0, 0, 36)",2640.006463472791
"(1, 1, 2)","(1, 0, 0, 36)",2640.0223127534564
"(0, 1, 1)","(0, 0, 0, 36)",2640.3690424674137
"(1, 1, 2)","(1, 0, 2, 36)",2640.3890147346174
"(2, 1, 1)","(0, 0, 2, 36)",2640.401353770874
"(1, 1, 2)","(2, 0, 1, 36)",2640.419152181993
"(1, 1, 2)","(0, 0, 1, 36)",2640.5757963465107
"(2, 1, 1)","(1, 0, 0, 36)",2640.583680595067
"(0, 1, 2)","(1, 0, 2, 36)",2640.685797446805
"(0, 1, 2)","(2, 0, 1, 36)",2640.705111594717
"(2, 1, 1)","(0, 0, 0, 36)",2640.934067954784
"(2, 1, 1)","(0, 0, 1, 36)",2640.976727568171
"(1, 1, 2)","(0, 0, 0, 36)",2641.1647090564534
"(2, 1, 0)","(2, 0, 2, 36)",2641.4645850714783
"(2, 1, 1)","(1, 0, 2, 36)",2641.489467375046
"(2, 1, 1)","(2, 0, 1, 36)",2641.508545751638
"(1, 1, 1)","(2, 0, 2, 36)",2641.6607458203216
"(0, 1, 1)","(2, 0, 2, 36)",2641.8463812660284
"(1, 1, 2)","(2, 0, 2, 36)",2642.306153207256
"(0, 1, 2)","(2, 0, 2, 36)",2642.6617765450865
"(0, 2, 1)","(0, 0, 0, 36)",2642.6799132490733
"(0, 2, 1)","(1, 0, 1, 36)",2642.6951384959966
"(0, 2, 1)","(1, 0, 0, 36)",2642.7510030483018
"(0, 2, 1)","(2, 0, 0, 36)",2642.852338356452
"(0, 2, 1)","(0, 0, 1, 36)",2643.035568102905
"(0, 2, 1)","(0, 0, 2, 36)",2643.152665806049
"(2, 1, 1)","(2, 0, 2, 36)",2643.4547011398245
"(0, 2, 1)","(1, 0, 2, 36)",2644.4504607537347
"(0, 2, 1)","(2, 0, 1, 36)",2644.4633148353373
"(2, 2, 0)","(0, 0, 0, 36)",2645.847895450873
"(2, 2, 0)","(1, 0, 0, 36)",2646.1965619053685
"(2, 2, 0)","(0, 0, 1, 36)",2646.39491635076
"(0, 2, 1)","(2, 0, 2, 36)",2646.419232468041
"(2, 2, 0)","(1, 0, 1, 36)",2646.537942626881
"(2, 2, 0)","(2, 0, 0, 36)",2646.947066727761
"(2, 2, 0)","(0, 0, 2, 36)",2647.1677537302317
"(1, 2, 0)","(0, 0, 0, 36)",2647.350960038552
"(1, 2, 0)","(1, 0, 0, 36)",2648.27188594157
"(1, 2, 0)","(0, 0, 1, 36)",2648.3788897145987
"(2, 2, 0)","(1, 0, 2, 36)",2648.431770428904
"(2, 2, 0)","(2, 0, 1, 36)",2648.4387653927197
"(0, 1, 0)","(0, 0, 2, 36)",2648.783332335651
"(1, 2, 0)","(1, 0, 1, 36)",2649.049335458557
"(1, 2, 0)","(2, 0, 0, 36)",2649.4002077231353
"(1, 2, 0)","(0, 0, 2, 36)",2649.526385387817
"(0, 1, 0)","(1, 0, 2, 36)",2649.772898917205
"(2, 2, 0)","(2, 0, 2, 36)",2650.375583329545
"(1, 2, 0)","(1, 0, 2, 36)",2650.9622210316543
"(1, 2, 0)","(2, 0, 1, 36)",2650.967106387055
"(0, 1, 0)","(2, 0, 2, 36)",2651.772311328533
"(1, 2, 0)","(2, 0, 2, 36)",2652.9095990320557
"(0, 1, 0)","(0, 0, 0, 36)",2654.545069294621
"(0, 1, 0)","(1, 0, 0, 36)",2654.671457107905
"(0, 1, 0)","(2, 0, 0, 36)",2654.837545760513
"(0, 2, 0)","(0, 0, 0, 36)",2656.160374412347
"(0, 2, 0)","(0, 0, 1, 36)",2657.4050840584637
"(0, 2, 0)","(0, 0, 2, 36)",2659.152847816589
"(0, 2, 0)","(1, 0, 2, 36)",2660.5380266125176
"(2, 0, 0)","(2, 0, 0, 36)",2661.4223838452663
"(2, 0, 0)","(0, 0, 2, 36)",2661.6273897172528
"(2, 0, 0)","(1, 0, 1, 36)",2661.7108670300017
"(0, 1, 0)","(1, 0, 1, 36)",2662.2219150840383
"(0, 2, 0)","(1, 0, 0, 36)",2662.316703039945
"(2, 0, 0)","(1, 0, 0, 36)",2662.326556076329
"(0, 2, 0)","(2, 0, 2, 36)",2662.4868015344164
"(2, 0, 0)","(0, 0, 0, 36)",2662.690650359663
"(2, 0, 0)","(0, 0, 1, 36)",2662.755403707958
"(2, 0, 0)","(1, 0, 2, 36)",2663.216731608823
"(2, 0, 0)","(2, 0, 1, 36)",2663.2333666859486
"(2, 0, 1)","(2, 0, 0, 36)",2663.496888660963
"(2, 0, 1)","(0, 0, 2, 36)",2663.7057239170645
"(2, 0, 1)","(1, 0, 1, 36)",2663.8094589395873
"(1, 0, 1)","(2, 0, 0, 36)",2664.0011576929714
"(1, 0, 2)","(2, 0, 0, 36)",2664.189957526581
"(1, 0, 1)","(0, 0, 2, 36)",2664.2485090809073
"(2, 0, 1)","(1, 0, 0, 36)",2664.3512713299483
"(1, 0, 2)","(0, 0, 2, 36)",2664.4033007770154
"(1, 0, 1)","(1, 0, 1, 36)",2664.5151879252644
"(1, 0, 2)","(1, 0, 1, 36)",2664.5809902322067
"(2, 0, 1)","(0, 0, 0, 36)",2664.681265515514
"(2, 0, 1)","(0, 0, 1, 36)",2664.7743703783713
"(1, 0, 2)","(1, 0, 0, 36)",2664.958264633652
"(1, 0, 2)","(0, 0, 0, 36)",2665.1035456362893
"(2, 0, 0)","(2, 0, 2, 36)",2665.204548093276
"(2, 0, 1)","(1, 0, 2, 36)",2665.307115315372
"(2, 0, 1)","(2, 0, 1, 36)",2665.323059743792
"(1, 0, 2)","(0, 0, 1, 36)",2665.356376739467
"(1, 0, 1)","(1, 0, 0, 36)",2665.518995980475
"(2, 0, 2)","(2, 0, 0, 36)",2665.670019619983
"(2, 0, 2)","(0, 0, 2, 36)",2665.872756843208
"(1, 0, 1)","(1, 0, 2, 36)",2665.904973278064
"(1, 0, 1)","(2, 0, 1, 36)",2665.9062634065062
"(2, 0, 2)","(1, 0, 1, 36)",2666.012324857128
"(1, 0, 2)","(1, 0, 2, 36)",2666.0462384079287
"(1, 0, 2)","(2, 0, 1, 36)",2666.0564259360312
"(1, 0, 1)","(0, 0, 1, 36)",2666.1249908605855
"(2, 0, 2)","(1, 0, 0, 36)",2666.3180227110765
"(2, 0, 2)","(0, 0, 0, 36)",2666.384245982652
"(1, 0, 1)","(0, 0, 0, 36)",2666.504048751169
"(2, 0, 2)","(0, 0, 1, 36)",2666.691187845682
"(2, 0, 1)","(2, 0, 2, 36)",2667.297790420042
"(2, 0, 2)","(1, 0, 2, 36)",2667.5088150116694
"(2, 0, 2)","(2, 0, 1, 36)",2667.5219677956907
"(1, 0, 1)","(2, 0, 2, 36)",2667.9038263901907
"(1, 0, 2)","(2, 0, 2, 36)",2668.044984665428
"(2, 0, 2)","(2, 0, 2, 36)",2669.504324090272
"(0, 1, 0)","(0, 0, 1, 36)",2674.17665830579
"(1, 0, 0)","(2, 0, 0, 36)",2674.2067097545337
"(1, 0, 0)","(0, 0, 2, 36)",2674.7416332362413
"(1, 0, 0)","(1, 0, 1, 36)",2675.8119427674947
"(1, 0, 0)","(2, 0, 1, 36)",2676.198918116625
"(1, 0, 0)","(1, 0, 2, 36)",2676.317448783667
"(1, 0, 0)","(2, 0, 2, 36)",2678.196074522965
"(1, 0, 0)","(1, 0, 0, 36)",2679.0161440354395
"(1, 0, 0)","(0, 0, 1, 36)",2680.3659304859784
"(1, 0, 0)","(0, 0, 0, 36)",2681.8706687413187
"(0, 2, 0)","(2, 0, 0, 36)",2688.5470843175267
"(0, 1, 0)","(2, 0, 1, 36)",2689.881352093552
"(0, 2, 0)","(2, 0, 1, 36)",2938.8692860339156
"(0, 2, 0)","(1, 0, 1, 36)",2953.7849551751046
"(0, 0, 0)","(1, 0, 1, 36)",2989.7111978122352
"(0, 0, 0)","(1, 0, 2, 36)",2989.7369423924647
"(0, 0, 0)","(2, 0, 2, 36)",2991.6395860516914
"(0, 0, 0)","(2, 0, 0, 36)",2993.9954057683635
"(0, 0, 0)","(2, 0, 1, 36)",3005.452503715201
"(0, 0, 0)","(1, 0, 0, 36)",3008.162264116354
"(0, 0, 0)","(0, 0, 2, 36)",3058.629500326577
"(0, 0, 2)","(0, 0, 0, 36)",3068.4854037852274
"(0, 0, 2)","(1, 0, 0, 36)",3068.5842514883025
"(0, 0, 2)","(0, 0, 1, 36)",3068.9150659368247
"(0, 0, 2)","(2, 0, 0, 36)",3070.429807238604
"(0, 0, 2)","(1, 0, 1, 36)",3070.4323988022597
"(0, 0, 2)","(0, 0, 2, 36)",3070.5050097494122
"(0, 0, 2)","(2, 0, 1, 36)",3072.4280745432116
"(0, 0, 2)","(1, 0, 2, 36)",3072.428079422053
"(0, 0, 2)","(2, 0, 2, 36)",3074.4284927451113
"(0, 0, 1)","(1, 0, 0, 36)",3082.277872103266
"(0, 0, 1)","(2, 0, 0, 36)",3083.912837381618
"(0, 0, 1)","(1, 0, 1, 36)",3083.9243353230568
"(0, 0, 1)","(0, 0, 2, 36)",3084.674879673326
"(0, 0, 1)","(0, 0, 1, 36)",3084.7876024594652
"(0, 0, 1)","(2, 0, 1, 36)",3085.91207501789
"(0, 0, 1)","(1, 0, 2, 36)",3085.9122511331216
"(0, 0, 1)","(2, 0, 2, 36)",3087.9131526278466
"(0, 0, 1)","(0, 0, 0, 36)",3089.8743255404074
"(0, 0, 0)","(0, 0, 1, 36)",3107.7840864834284
"(0, 0, 0)","(0, 0, 0, 36)",3175.195727677822
